ID,Match,Date,Teams,Ground,Result,Scorecard,Season,Winner,Margin,Day_of_Week,Month,Year,Team1,Team2
110,51,2009-05-18,Chennai Super Kings v Kolkata Knight Riders,Centurion,Kolkata Knight Riders won by 7 Wickets,MatchScorecard.asp?MatchCode=0110,2009.0,Kolkata Knight Riders,7 Wickets,Monday,May,2009,Chennai Super Kings,Kolkata Knight Riders
111,52,2009-05-19,Royal Challengers Bengaluru v Delhi Capitals,Johannesburg,Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0111,2009.0,Royal Challengers Bengaluru,7 Wickets,Tuesday,May,2009,Royal Challengers Bengaluru,Delhi Capitals
112,53,2009-05-20,Kolkata Knight Riders v Rajasthan Royals,Durban,Kolkata Knight Riders won by 4 Wickets,MatchScorecard.asp?MatchCode=0112,2009.0,Kolkata Knight Riders,4 Wickets,Wednesday,May,2009,Kolkata Knight Riders,Rajasthan Royals
113,54,2009-05-20,Chennai Super Kings v Punjab Kings,Durban,Chennai Super Kings won by 24 Runs,MatchScorecard.asp?MatchCode=0113,2009.0,Chennai Super Kings,24 Runs,Wednesday,May,2009,Chennai Super Kings,Punjab Kings
114,55,2009-05-21,Delhi Capitals v Mumbai Indians,Centurion,Delhi Capitals won by 4 Wickets,MatchScorecard.asp?MatchCode=0114,2009.0,Delhi Capitals,4 Wickets,Thursday,May,2009,Delhi Capitals,Mumbai Indians
115,56,2009-05-21,Royal Challengers Bengaluru v Deccan Chargers,Centurion,Royal Challengers Bengaluru won by 12 Runs,MatchScorecard.asp?MatchCode=0115,2009.0,Royal Challengers Bengaluru,12 Runs,Thursday,May,2009,Royal Challengers Bengaluru,Deccan Chargers
116,1st Semi Final,2009-05-22,Delhi Capitals v Deccan Chargers,Centurion,Deccan Chargers won by 6 Wickets,MatchScorecard.asp?MatchCode=0116,2009.0,Deccan Chargers,6 Wickets,Friday,May,2009,Delhi Capitals,Deccan Chargers
117,2nd Semi Final,2009-05-23,Royal Challengers Bengaluru v Chennai Super Kings,Johannesburg,Royal Challengers Bengaluru won by 6 Wickets,MatchScorecard.asp?MatchCode=0117,2009.0,Royal Challengers Bengaluru,6 Wickets,Saturday,May,2009,Royal Challengers Bengaluru,Chennai Super Kings
118,Final,2009-05-24,Royal Challengers Bengaluru v Deccan Chargers,Johannesburg,Deccan Chargers won by 6 Runs,MatchScorecard.asp?MatchCode=0118,2009.0,Deccan Chargers,6 Runs,Sunday,May,2009,Royal Challengers Bengaluru,Deccan Chargers
119,1,2010-03-12,Deccan Chargers v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 11 Runs,MatchScorecard.asp?MatchCode=0119,2010.0,Kolkata Knight Riders,11 Runs,Friday,March,2010,Deccan Chargers,Kolkata Knight Riders
120,2,2010-03-13,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 4 Runs,MatchScorecard.asp?MatchCode=0120,2010.0,Mumbai Indians,4 Runs,Saturday,March,2010,Mumbai Indians,Rajasthan Royals
121,3,2010-03-13,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Delhi Capitals won by 5 Wickets,MatchScorecard.asp?MatchCode=0121,2010.0,Delhi Capitals,5 Wickets,Saturday,March,2010,Punjab Kings,Delhi Capitals
122,4,2010-03-14,Kolkata Knight Riders v Royal Challengers Bengaluru,Kolkata,Kolkata Knight Riders won by 7 Wickets,MatchScorecard.asp?MatchCode=0122,2010.0,Kolkata Knight Riders,7 Wickets,Sunday,March,2010,Kolkata Knight Riders,Royal Challengers Bengaluru
123,5,2010-03-14,Chennai Super Kings v Deccan Chargers,Chennai,Deccan Chargers won by 31 Runs,MatchScorecard.asp?MatchCode=0123,2010.0,Deccan Chargers,31 Runs,Sunday,March,2010,Chennai Super Kings,Deccan Chargers
124,6,2010-03-15,Rajasthan Royals v Delhi Capitals,Cuttack,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0124,2010.0,Delhi Capitals,6 Wickets,Monday,March,2010,Rajasthan Royals,Delhi Capitals
125,7,2010-03-16,Royal Challengers Bengaluru v Punjab Kings,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 8 Wickets,MatchScorecard.asp?MatchCode=0125,2010.0,Royal Challengers Bengaluru,8 Wickets,Tuesday,March,2010,Royal Challengers Bengaluru,Punjab Kings
126,8,2010-03-16,Chennai Super Kings v Kolkata Knight Riders,Kolkata,Chennai Super Kings won by 55 Runs,MatchScorecard.asp?MatchCode=0126,2010.0,Chennai Super Kings,55 Runs,Tuesday,March,2010,Chennai Super Kings,Kolkata Knight Riders
127,9,2010-03-17,Delhi Capitals v Mumbai Indians,Delhi,Mumbai Indians won by 98 Runs,MatchScorecard.asp?MatchCode=0127,2010.0,Mumbai Indians,98 Runs,Wednesday,March,2010,Delhi Capitals,Mumbai Indians
128,10,2010-03-18,Royal Challengers Bengaluru v Rajasthan Royals,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 10 Wickets,MatchScorecard.asp?MatchCode=0128,2010.0,Royal Challengers Bengaluru,10 Wickets,Thursday,March,2010,Royal Challengers Bengaluru,Rajasthan Royals
129,11,2010-03-19,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0129,2010.0,Chennai Super Kings,5 Wickets,Friday,March,2010,Delhi Capitals,Chennai Super Kings
130,12,2010-03-19,Deccan Chargers v Punjab Kings,Cuttack,Deccan Chargers won by 6 Runs,MatchScorecard.asp?MatchCode=0130,2010.0,Deccan Chargers,6 Runs,Friday,March,2010,Deccan Chargers,Punjab Kings
131,13,2010-03-20,Rajasthan Royals v Kolkata Knight Riders,Ahmedabad,Rajasthan Royals won by 34 Runs,MatchScorecard.asp?MatchCode=0131,2010.0,Rajasthan Royals,34 Runs,Saturday,March,2010,Rajasthan Royals,Kolkata Knight Riders
132,14,2010-03-20,Mumbai Indians v Royal Challengers Bengaluru,Cuttack,Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0132,2010.0,Royal Challengers Bengaluru,7 Wickets,Saturday,March,2010,Mumbai Indians,Royal Challengers Bengaluru
133,15,2010-03-21,Deccan Chargers v Delhi Capitals,Cuttack,Deccan Chargers won by 10 Runs,MatchScorecard.asp?MatchCode=0133,2010.0,Deccan Chargers,10 Runs,Sunday,March,2010,Deccan Chargers,Delhi Capitals
134,16,2010-03-21,Chennai Super Kings v Punjab Kings,Chennai,Match tied (Punjab Kings won eliminator),MatchScorecard.asp?MatchCode=0134,2010.0,Unknown,Unknown,Sunday,March,2010,Chennai Super Kings,Punjab Kings
135,17,2010-03-22,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 7 Wickets,MatchScorecard.asp?MatchCode=0135,2010.0,Mumbai Indians,7 Wickets,Monday,March,2010,Mumbai Indians,Kolkata Knight Riders
136,18,2010-03-23,Royal Challengers Bengaluru v Chennai Super Kings,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 36 Runs,MatchScorecard.asp?MatchCode=0136,2010.0,Royal Challengers Bengaluru,36 Runs,Tuesday,March,2010,Royal Challengers Bengaluru,Chennai Super Kings
137,19,2010-03-24,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Rajasthan Royals won by 31 Runs,MatchScorecard.asp?MatchCode=0137,2010.0,Rajasthan Royals,31 Runs,Wednesday,March,2010,Punjab Kings,Rajasthan Royals
138,20,2010-03-25,Royal Challengers Bengaluru v Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 17 Runs,MatchScorecard.asp?MatchCode=0138,2010.0,Delhi Capitals,17 Runs,Thursday,March,2010,Royal Challengers Bengaluru,Delhi Capitals
139,21,2010-03-25,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 5 Wickets,MatchScorecard.asp?MatchCode=0139,2010.0,Mumbai Indians,5 Wickets,Thursday,March,2010,Mumbai Indians,Chennai Super Kings
140,22,2010-03-26,Rajasthan Royals v Deccan Chargers,Ahmedabad,Rajasthan Royals won by 8 Wickets,MatchScorecard.asp?MatchCode=0140,2010.0,Rajasthan Royals,8 Wickets,Friday,March,2010,Rajasthan Royals,Deccan Chargers
141,23,2010-03-27,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Kolkata Knight Riders won by 39 Runs,MatchScorecard.asp?MatchCode=0141,2010.0,Kolkata Knight Riders,39 Runs,Saturday,March,2010,Punjab Kings,Kolkata Knight Riders
142,24,2010-03-28,Rajasthan Royals v Chennai Super Kings,Ahmedabad,Rajasthan Royals won by 17 Runs,MatchScorecard.asp?MatchCode=0142,2010.0,Rajasthan Royals,17 Runs,Sunday,March,2010,Rajasthan Royals,Chennai Super Kings
143,25,2010-03-28,Deccan Chargers v Mumbai Indians,Mumbai,Mumbai Indians won by 41 Runs,MatchScorecard.asp?MatchCode=0143,2010.0,Mumbai Indians,41 Runs,Sunday,March,2010,Deccan Chargers,Mumbai Indians
144,26,2010-03-29,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 40 Runs,MatchScorecard.asp?MatchCode=0144,2010.0,Delhi Capitals,40 Runs,Monday,March,2010,Delhi Capitals,Kolkata Knight Riders
145,27,2010-03-30,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 4 Wickets,MatchScorecard.asp?MatchCode=0145,2010.0,Mumbai Indians,4 Wickets,Tuesday,March,2010,Mumbai Indians,Punjab Kings
146,28,2010-03-31,Chennai Super Kings v Royal Challengers Bengaluru,Chennai,Chennai Super Kings won by 5 Wickets,MatchScorecard.asp?MatchCode=0146,2010.0,Chennai Super Kings,5 Wickets,Wednesday,March,2010,Chennai Super Kings,Royal Challengers Bengaluru
147,29,2010-03-31,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 67 Runs,MatchScorecard.asp?MatchCode=0147,2010.0,Delhi Capitals,67 Runs,Wednesday,March,2010,Delhi Capitals,Rajasthan Royals
148,30,2010-04-01,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 24 Runs,MatchScorecard.asp?MatchCode=0148,2010.0,Kolkata Knight Riders,24 Runs,Thursday,April,2010,Kolkata Knight Riders,Deccan Chargers
149,31,2010-04-02,Punjab Kings v Royal Challengers Bengaluru,Cuttack,Royal Challengers Bengaluru won by 6 Wickets,MatchScorecard.asp?MatchCode=0149,2010.0,Royal Challengers Bengaluru,6 Wickets,Friday,April,2010,Punjab Kings,Royal Challengers Bengaluru
150,32,2010-04-03,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 23 Runs,MatchScorecard.asp?MatchCode=0150,2010.0,Chennai Super Kings,23 Runs,Saturday,April,2010,Chennai Super Kings,Rajasthan Royals
151,33,2010-04-03,Mumbai Indians v Deccan Chargers,Mumbai,Mumbai Indians won by 63 Runs,MatchScorecard.asp?MatchCode=0151,2010.0,Mumbai Indians,63 Runs,Saturday,April,2010,Mumbai Indians,Deccan Chargers
152,34,2010-04-04,Kolkata Knight Riders v Punjab Kings,Kolkata,Punjab Kings won by 8 Wickets,MatchScorecard.asp?MatchCode=0152,2010.0,Punjab Kings,8 Wickets,Sunday,April,2010,Kolkata Knight Riders,Punjab Kings
153,35,2010-04-04,Delhi Capitals v Royal Challengers Bengaluru,Delhi,Delhi Capitals won by 37 Runs,MatchScorecard.asp?MatchCode=0153,2010.0,Delhi Capitals,37 Runs,Sunday,April,2010,Delhi Capitals,Royal Challengers Bengaluru
154,36,2010-04-05,Deccan Chargers v Rajasthan Royals,Nagpur,Rajasthan Royals won by 2 Runs,MatchScorecard.asp?MatchCode=0154,2010.0,Rajasthan Royals,2 Runs,Monday,April,2010,Deccan Chargers,Rajasthan Royals
155,37,2010-04-06,Chennai Super Kings v Mumbai Indians,Chennai,Chennai Super Kings won by 24 Runs,MatchScorecard.asp?MatchCode=0155,2010.0,Chennai Super Kings,24 Runs,Tuesday,April,2010,Chennai Super Kings,Mumbai Indians
156,38,2010-04-07,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 9 Wickets,MatchScorecard.asp?MatchCode=0156,2010.0,Rajasthan Royals,9 Wickets,Wednesday,April,2010,Rajasthan Royals,Punjab Kings
157,39,2010-04-07,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 14 Runs,MatchScorecard.asp?MatchCode=0157,2010.0,Kolkata Knight Riders,14 Runs,Wednesday,April,2010,Kolkata Knight Riders,Delhi Capitals
158,40,2010-04-08,Royal Challengers Bengaluru v Deccan Chargers,"Bengaluru, Bangalore",Deccan Chargers won by 7 Wickets,MatchScorecard.asp?MatchCode=0158,2010.0,Deccan Chargers,7 Wickets,Thursday,April,2010,Royal Challengers Bengaluru,Deccan Chargers
159,41,2010-04-09,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0159,2010.0,Punjab Kings,6 Wickets,Friday,April,2010,Punjab Kings,Mumbai Indians
160,42,2010-04-10,Deccan Chargers v Chennai Super Kings,Nagpur,Deccan Chargers won by 6 Wickets,MatchScorecard.asp?MatchCode=0160,2010.0,Deccan Chargers,6 Wickets,Saturday,April,2010,Deccan Chargers,Chennai Super Kings
161,43,2010-04-10,Royal Challengers Bengaluru v Kolkata Knight Riders,"Bengaluru, Bangalore",Royal Challengers Bengaluru won by 7 Wickets,MatchScorecard.asp?MatchCode=0161,2010.0,Royal Challengers Bengaluru,7 Wickets,Saturday,April,2010,Royal Challengers Bengaluru,Kolkata Knight Riders
162,44,2010-04-11,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 7 Wickets,MatchScorecard.asp?MatchCode=0162,2010.0,Punjab Kings,7 Wickets,Sunday,April,2010,Delhi Capitals,Punjab Kings
163,45,2010-04-11,Rajasthan Royals v Mumbai Indians,Jaipur,Mumbai Indians won by 37 Runs,MatchScorecard.asp?MatchCode=0163,2010.0,Mumbai Indians,37 Runs,Sunday,April,2010,Rajasthan Royals,Mumbai Indians
164,46,2010-04-12,Deccan Chargers v Royal Challengers Bengaluru,Nagpur,Deccan Chargers won by 13 Runs,MatchScorecard.asp?MatchCode=0164,2010.0,Deccan Chargers,13 Runs,Monday,April,2010,Deccan Chargers,Royal Challengers Bengaluru
165,47,2010-04-13,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 39 Runs,MatchScorecard.asp?MatchCode=0165,2010.0,Mumbai Indians,39 Runs,Tuesday,April,2010,Mumbai Indians,Delhi Capitals
166,48,2010-04-13,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 9 Wickets,MatchScorecard.asp?MatchCode=0166,2010.0,Chennai Super Kings,9 Wickets,Tuesday,April,2010,Chennai Super Kings,Kolkata Knight Riders
167,49,2010-04-14,Rajasthan Royals v Royal Challengers Bengaluru,Jaipur,Royal Challengers Bengaluru won by 5 Wickets,MatchScorecard.asp?MatchCode=0167,2010.0,Royal Challengers Bengaluru,5 Wickets,Wednesday,April,2010,Rajasthan Royals,Royal Challengers Bengaluru
168,50,2010-04-15,Chennai Super Kings v Delhi Capitals,Chennai,Delhi Capitals won by 6 Wickets,MatchScorecard.asp?MatchCode=0168,2010.0,Delhi Capitals,6 Wickets,Thursday,April,2010,Chennai Super Kings,Delhi Capitals
169,51,2010-04-16,Punjab Kings v Deccan Chargers,Dharamsala,Deccan Chargers won by 5 Wickets,MatchScorecard.asp?MatchCode=0169,2010.0,Deccan Chargers,5 Wickets,Friday,April,2010,Punjab Kings,Deccan Chargers
170,52,2010-04-17,Royal Challengers Bengaluru v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 57 Runs,MatchScorecard.asp?MatchCode=0170,2010.0,Mumbai Indians,57 Runs,Saturday,April,2010,Royal Challengers Bengaluru,Mumbai Indians
171,53,2010-04-17,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 8 Wickets,MatchScorecard.asp?MatchCode=0171,2010.0,Kolkata Knight Riders,8 Wickets,Saturday,April,2010,Kolkata Knight Riders,Rajasthan Royals
172,54,2010-04-18,Punjab Kings v Chennai Super Kings,Dharamsala,Chennai Super Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0172,2010.0,Chennai Super Kings,6 Wickets,Sunday,April,2010,Punjab Kings,Chennai Super Kings
173,55,2010-04-18,Delhi Capitals v Deccan Chargers,Delhi,Deccan Chargers won by 11 Runs,MatchScorecard.asp?MatchCode=0173,2010.0,Deccan Chargers,11 Runs,Sunday,April,2010,Delhi Capitals,Deccan Chargers
174,56,2010-04-19,Kolkata Knight Riders v Mumbai Indians,Kolkata,Kolkata Knight Riders won by 9 Wickets,MatchScorecard.asp?MatchCode=0174,2010.0,Kolkata Knight Riders,9 Wickets,Monday,April,2010,Kolkata Knight Riders,Mumbai Indians
175,1st Semi Final,2010-04-21,Royal Challengers Bengaluru v Mumbai Indians,Mumbai,Mumbai Indians won by 35 Runs,MatchScorecard.asp?MatchCode=0175,2010.0,Mumbai Indians,35 Runs,Wednesday,April,2010,Royal Challengers Bengaluru,Mumbai Indians
176,2nd Semi Final,2010-04-22,Chennai Super Kings v Deccan Chargers,Mumbai,Chennai Super Kings won by 38 Runs,MatchScorecard.asp?MatchCode=0176,2010.0,Chennai Super Kings,38 Runs,Thursday,April,2010,Chennai Super Kings,Deccan Chargers
177,Play Off 3rd Match,2010-04-24,Royal Challengers Bengaluru v Deccan Chargers,Mumbai,Royal Challengers Bengaluru won by 9 Wickets,MatchScorecard.asp?MatchCode=0177,2010.0,Royal Challengers Bengaluru,9 Wickets,Saturday,April,2010,Royal Challengers Bengaluru,Deccan Chargers
178,Final,2010-04-25,Chennai Super Kings v Mumbai Indians,Mumbai,Chennai Super Kings won by 22 Runs,MatchScorecard.asp?MatchCode=0178,2010.0,Chennai Super Kings,22 Runs,Sunday,April,2010,Chennai Super Kings,Mumbai Indians
179,1,2011-04-08,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 2 Runs,MatchScorecard.asp?MatchCode=0179,2011.0,Chennai Super Kings,2 Runs,Friday,April,2011,Chennai Super Kings,Kolkata Knight Riders
180,2,2011-04-09,Deccan Chargers v Rajasthan Royals,Hyderabad,Rajasthan Royals won by 8 Wickets,MatchScorecard.asp?MatchCode=0180,2011.0,Rajasthan Royals,8 Wickets,Saturday,April,2011,Deccan Chargers,Rajasthan Royals
181,3,2011-04-09,Kochi Tuskers Kerala v Royal Challengers Bengaluru,Kochi,Royal Challengers Bengaluru won by 6 Wickets,MatchScorecard.asp?MatchCode=0181,2011.0,Royal Challengers Bengaluru,6 Wickets,Saturday,April,2011,Kochi Tuskers Kerala,Royal Challengers Bengaluru
182,4,2011-04-10,Delhi Capitals v Mumbai Indians,Delhi,Mumbai Indians won by 8 Wickets,MatchScorecard.asp?MatchCode=0182,2011.0,Mumbai Indians,8 Wickets,Sunday,April,2011,Delhi Capitals,Mumbai Indians
183,5,2011-04-10,Pune Warriors v Punjab Kings,Mumbai,Pune Warriors won by 7 Wickets,MatchScorecard.asp?MatchCode=0183,2011.0,Pune Warriors,7 Wickets,Sunday,April,2011,Pune Warriors,Punjab Kings
184,6,2011-04-11,Kolkata Knight Riders v Deccan Chargers,Kolkata,Kolkata Knight Riders won by 9 Runs,MatchScorecard.asp?MatchCode=0184,2011.0,Kolkata Knight Riders,9 Runs,Monday,April,2011,Kolkata Knight Riders,Deccan Chargers
185,7,2011-04-12,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 6 Wickets,MatchScorecard.asp?MatchCode=0185,2011.0,Rajasthan Royals,6 Wickets,Tuesday,April,2011,Rajasthan Royals,Delhi Capitals
186,8,2011-04-12,Royal Challengers Bengaluru v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 9 Wickets,MatchScorecard.asp?MatchCode=0186,2011.0,Mumbai Indians,9 Wickets,Tuesday,April,2011,Royal Challengers Bengaluru,Mumbai Indians
187,10,2011-04-13,Pune Warriors v Kochi Tuskers Kerala,Mumbai,Pune Warriors won by 4 Wickets,MatchScorecard.asp?MatchCode=0188,2011.0,Pune Warriors,4 Wickets,Wednesday,April,2011,Pune Warriors,Kochi Tuskers Kerala
188,9,2011-04-13,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets,MatchScorecard.asp?MatchCode=0187,2011.0,Punjab Kings,6 Wickets,Wednesday,April,2011,Punjab Kings,Chennai Super Kings
189,11,2011-04-14,Deccan Chargers v Royal Challengers Bengaluru,Hyderabad,Deccan Chargers won by 33 Runs,MatchScorecard.asp?MatchCode=0189,2011.0,Deccan Chargers,33 Runs,Thursday,April,2011,Deccan Chargers,Royal Challengers Bengaluru
190,12,2011-04-15,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 9 Wickets,MatchScorecard.asp?MatchCode=0190,2011.0,Kolkata Knight Riders,9 Wickets,Friday,April,2011,Rajasthan Royals,Kolkata Knight Riders
191,13,2011-04-15,Mumbai Indians v Kochi Tuskers Kerala,Cuttack,Kochi Tuskers Kerala won by 8 Wickets,MatchScorecard.asp?MatchCode=0191,2011.0,Kochi Tuskers Kerala,8 Wickets,Friday,April,2011,Mumbai Indians,Kochi Tuskers Kerala
192,14,2011-04-16,Chennai Super Kings v Royal Challengers Bengaluru,Chennai,Chennai Super Kings won by 21 Runs,MatchScorecard.asp?MatchCode=0192,2011.0,Chennai Super Kings,21 Runs,Saturday,April,2011,Chennai Super Kings,Royal Challengers Bengaluru
193,15,2011-04-16,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 8 Wickets,MatchScorecard.asp?MatchCode=0193,2011.0,Punjab Kings,8 Wickets,Saturday,April,2011,Deccan Chargers,Punjab Kings
194,16,2011-04-17,Pune Warriors v Delhi Capitals,Mumbai,Delhi Capitals won by 3 Wickets,MatchScorecard.asp?MatchCode=0194,2011.0,Delhi Capitals,3 Wickets,Sunday,April,2011,Pune Warriors,Delhi Capitals
195,17,2011-04-17,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 8 Wickets,MatchScorecard.asp?MatchCode=0195,2011.0,Kolkata Knight Riders,8 Wickets,Sunday,April,2011,Kolkata Knight Riders,Rajasthan Royals
196,18,2011-04-18,Kochi Tuskers Kerala v Chennai Super Kings,Kochi,Kochi Tuskers Kerala won by 7 Wickets,MatchScorecard.asp?MatchCode=0196,2011.0,Kochi Tuskers Kerala,7 Wickets,Monday,April,2011,Kochi Tuskers Kerala,Chennai Super Kings
197,19,2011-04-19,Delhi Capitals v Deccan Chargers,Delhi,Deccan Chargers won by 16 Runs,MatchScorecard.asp?MatchCode=0197,2011.0,Deccan Chargers,16 Runs,Tuesday,April,2011,Delhi Capitals,Deccan Chargers
198,20,2011-04-19,Royal Challengers Bengaluru v Rajasthan Royals,"Bengaluru, Bangalore",Match abandoned,MatchScorecard.asp?MatchCode=0198,2011.0,Unknown,Unknown,Tuesday,April,2011,Royal Challengers Bengaluru,Rajasthan Royals
199,21,2011-04-20,Mumbai Indians v Pune Warriors,Mumbai,Mumbai Indians won by 7 Wickets,MatchScorecard.asp?MatchCode=0199,2011.0,Mumbai Indians,7 Wickets,Wednesday,April,2011,Mumbai Indians,Pune Warriors
200,22,2011-04-20,Kolkata Knight Riders v Kochi Tuskers Kerala,Kolkata,Kochi Tuskers Kerala won by 6 Runs,MatchScorecard.asp?MatchCode=0200,2011.0,Kochi Tuskers Kerala,6 Runs,Wednesday,April,2011,Kolkata Knight Riders,Kochi Tuskers Kerala
201,23,2011-04-21,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Punjab Kings won by 48 Runs,MatchScorecard.asp?MatchCode=0201,2011.0,Punjab Kings,48 Runs,Thursday,April,2011,Punjab Kings,Rajasthan Royals
